,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,Rk,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,eFG%
503,2.0,.581,3.4,0.6,0.5,1.2,0.262,0.7,9.2,23,0.3,2.3,0.0,-0.5,2.2,16.3,0.2,2.6,0.56,4.7,0.9,0.762,1.2,0.25,18,5,13.7,0.4,1.1,8.1,0.5,17.8,1.4,6.7,Isaiah Roby,PF,462.0,0.2,0.8,0.8,13.9,3.3,12.1,0.649,OKC,19.0,0.1,0.7,.142,0.625
504,0.8,.366,2.3,0.4,0.267,1.7,0.423,3.7,30.2,35,0.3,1.6,-4.4,0.2,2.2,13.9,0.3,1.3,0.324,3.9,0.1,0.5,0.1,0.028,18,0,16.1,-4.6,0.6,3.8,-0.5,6.8,1.4,3.1,Rajon Rondo,PG,463.0,0.7,2.0,1.9,32.1,2.7,9.0,0.383,LAL,15.7,-0.2,-0.2,-0.037,0.38
505,3.3,.467,7.0,1.4,0.402,3.5,0.336,4.0,27.6,33,0.5,1.8,2.0,-0.6,2.2,9.7,0.5,4.7,0.445,10.5,1.2,0.968,1.2,0.113,26,4,24.5,2.6,0.8,3.5,0.9,17.7,0.6,12.0,Derrick Rose,PG,464.0,0.8,1.7,1.5,11.9,3.0,6.6,0.541,NYK,22.7,0.6,1.5,.111,0.513
506,2.7,.497,5.4,1.5,0.302,4.8,0.472,2.2,13.7,30,0.2,0.7,-2.8,-1.3,2.4,9.7,0.2,4.1,0.405,10.2,2.4,0.872,2.8,0.272,31,0,26.0,-1.6,0.4,1.6,0.1,11.8,1.3,12.1,Terrence Ross,SG,465.0,0.6,1.2,1.6,12.2,2.7,5.6,0.531,ORL,21.6,-0.2,0.4,.023,0.476
507,3.7,.480,7.6,2.8,0.378,7.4,0.492,3.4,15.8,27,0.5,1.4,0.3,-1.5,3.1,10.7,0.2,6.5,0.43,15.0,1.8,0.803,2.2,0.146,30,30,31.6,1.8,0.7,2.3,1.3,16.5,1.4,17.5,Terry Rozier,SG,466.0,1.1,1.7,1.2,6.8,3.8,6.4,0.547,CHO,23.0,0.6,1.5,.078,0.523
508,2.6,.380,7.0,1.7,0.339,5.1,0.423,6.6,34.3,31,0.2,0.6,0.6,1.3,3.7,13.6,1.6,4.4,0.363,12.1,2.6,0.854,3.0,0.251,34,8,28.5,-0.7,0.4,1.7,0.2,14.4,2.2,13.1,Ricky Rubio,PG,467.0,1.4,2.5,2.6,16.5,4.1,7.9,0.488,CLE,24.6,0.6,1.8,.088,0.434
509,3.5,.436,8.0,2.8,0.328,8.6,0.517,6.6,32.2,25,0.6,1.7,0.7,-1.0,3.5,11.6,0.8,6.3,0.38,16.6,2.8,0.804,3.5,0.208,28,28,33.0,1.7,0.4,1.3,0.7,15.0,2.1,18.3,D'Angelo Russell,PG,468.0,0.9,1.3,2.6,12.7,3.9,6.2,0.502,MIN,26.4,0.6,1.5,.077,0.465
510,6.2,.643,9.6,0.7,0.304,2.4,0.202,4.5,20.8,25,0.4,1.0,4.3,1.0,8.7,27.9,1.5,6.9,0.575,12.0,4.2,0.743,5.6,0.469,38,37,34.6,3.3,3.2,10.2,3.7,22.5,3.1,18.7,Domantas Sabonis,C,469.0,1.0,1.5,3.1,17.5,11.9,19.1,0.646,IND,22.1,2.1,5.3,.192,0.605
512,0.9,.370,2.4,0.2,0.167,1.0,0.291,2.3,21.1,30,0.0,0.2,-5.6,-0.8,1.5,10.8,0.2,1.0,0.311,3.3,0.6,0.76,0.8,0.243,31,3,14.9,-4.8,0.6,4.1,-0.2,7.0,1.0,2.8,Tomas Satoransky,SG,471.0,0.5,1.5,0.7,16.8,2.0,7.3,0.386,NOP,12.7,-0.4,-0.1,-0.005,0.335
515,4.6,.485,9.4,1.5,0.333,4.4,0.319,4.6,23.2,28,0.1,0.3,-1.9,-1.1,2.9,9.8,0.8,6.0,0.437,13.8,3.0,0.873,3.4,0.249,32,19,32.2,-0.8,0.6,1.9,0.9,14.3,2.4,16.5,Dennis Schroder,SG,474.0,0.8,1.2,2.3,13.3,3.5,5.8,0.539,BOS,24.0,0.0,1.7,.078,0.49
517,0.6,.467,1.4,0.5,0.313,1.5,0.516,0.5,12.9,21,0.2,2.7,-3.5,-0.7,0.4,6.5,0.1,1.1,0.387,2.8,0.4,0.667,0.5,0.194,11,0,5.7,-2.9,0.0,0.0,0.0,12.6,0.4,3.0,Jay Scrubb,SG,476.0,0.3,2.3,0.3,8.2,0.4,3.3,0.49,LAC,25.5,0.0,0.0,.026,0.468
519,2.8,.541,5.2,0.3,0.308,1.1,0.177,2.6,22.8,19,0.9,4.4,0.8,1.1,3.1,18.1,0.6,3.1,0.5,6.3,2.4,0.703,3.4,0.536,35,2,18.4,-0.3,1.7,10.2,0.9,18.3,3.1,9.0,Alperen Sengun,C,478.0,0.9,2.4,1.9,20.0,4.8,14.2,0.579,HOU,22.4,0.5,1.5,.108,0.527
520,5.2,.538,9.6,1.0,0.244,4.1,0.298,2.1,11.8,23,0.0,0.0,-3.7,-0.5,2.1,7.6,0.4,6.2,0.45,13.7,2.6,0.744,3.5,0.258,11,11,28.7,-3.2,1.2,4.6,-0.3,11.6,2.3,16.0,Collin Sexton,SG,479.0,0.9,1.6,2.8,15.6,3.3,6.2,0.523,CLE,27.5,-0.1,0.1,.015,0.487
